distance_km,duration_min,traffic_level,hour,passenger_count,fare,eta_min
13.1,38,2,5,1,479,33.37
11.3,25,1,23,1,376,21.14
4.6,13,1,22,1,202,10.29
3.9,10,2,18,1,178,10.91
2.7,12,3,16,2,198,8.42
8.1,15,1,22,2,290,17.12
2.1,9,2,12,4,168,4.91
9.5,26,2,16,1,364,30.06
2.2,7,2,10,1,149,6.72
14.0,33,2,12,3,495,35.34
6.9,16,1,13,3,273,14.38
10.4,27,2,19,1,390,32.2
9.0,17,1,23,1,304,17.46
1.7,7,2,8,1,124,3.94
12.2,39,3,19,4,503,48.73
13.9,38,2,22,2,495,34.66
0.9,4,3,13,2,129,4.61
17.0,42,2,21,1,586,42.72
11.0,24,1,5,1,390,23.64
16.3,27,1,12,3,536,31.34
2.1,8,2,22,1,133,5.21
17.6,62,3,18,3,674,67.53
8.5,25,2,16,1,329,25.59
12.1,29,2,12,1,420,29.99
1.4,3,1,15,1,87,3.0
18.8,36,1,23,1,587,37.48
13.5,35,2,16,1,489,38.58
2.7,14,3,17,2,191,11.15
3.5,8,1,10,1,167,6.91
11.4,34,2,6,2,439,28.67
5.3,21,3,18,1,257,18.5
19.7,86,3,13,2,765,62.82
15.8,28,1,20,1,507,31.19
15.2,27,1,6,1,478,31.17
10.6,19,1,10,1,369,21.65
11.7,25,1,23,2,408,21.57
18.7,51,2,11,1,643,46.91
9.6,18,1,7,2,342,21.53
10.5,35,3,9,3,429,41.7
16.8,40,2,14,4,608,40.18
6.5,31,3,8,1,311,24.17
6.0,16,2,11,1,252,16.32
18.2,36,1,6,1,589,37.37
13.0,25,1,13,1,421,26.64
18.9,69,3,9,3,707,72.83
6.7,19,2,6,1,282,17.27
17.8,56,3,18,2,644,69.9
16.2,56,3,10,1,612,51.98
16.2,38,1,12,2,555,30.42
5.1,12,2,19,3,245,14.06
8.5,39,3,13,4,403,29.05
19.6,33,1,22,1,613,37.68
19.7,35,1,6,1,620,40.2
10.6,54,3,17,1,458,40.06
16.3,40,2,11,1,553,40.58
17.1,49,2,14,2,607,41.0
4.5,17,3,17,3,253,15.78
0.8,3,1,14,2,90,3.0
13.8,32,2,21,3,489,32.59
10.7,23,1,15,4,406,21.9
3.6,6,1,6,1,155,8.94
12.9,34,2,11,1,465,32.52
17.9,62,3,8,1,656,68.85
11.5,45,3,8,2,475,46.06
19.0,75,3,19,2,721,72.71
18.0,42,2,20,2,621,45.88
10.1,21,1,12,1,345,18.28
11.2,33,2,9,1,414,33.42
7.2,23,2,19,1,298,20.94
14.2,31,1,23,1,480,29.74
19.1,67,3,18,2,706,75.26
6.0,12,1,20,1,221,10.23
9.8,33,3,9,2,410,38.98
2.4,9,2,18,1,141,5.99
7.1,22,2,17,4,321,22.18
15.2,57,3,6,1,583,49.31
15.3,32,1,12,1,506,29.64
11.6,33,2,11,1,437,30.72
14.6,73,3,10,1,600,47.49
