distance_km,duration_min,traffic_level,hour,passenger_count,fare
13.1,38,2,5,1,479
11.3,25,1,23,1,376
4.6,13,1,22,1,202
3.9,10,2,18,1,178
2.7,12,3,16,2,198
8.1,15,1,22,2,290
2.1,9,2,12,4,168
9.5,26,2,16,1,364
2.2,7,2,10,1,149
14.0,33,2,12,3,495
6.9,16,1,13,3,273
10.4,27,2,19,1,390
9.0,17,1,23,1,304
1.7,7,2,8,1,124
12.2,39,3,19,4,503
13.9,38,2,22,2,495
0.9,4,3,13,2,129
17.0,42,2,21,1,586
11.0,24,1,5,1,390
16.3,27,1,12,3,536
2.1,8,2,22,1,133
17.6,62,3,18,3,674
8.5,25,2,16,1,329
12.1,29,2,12,1,420
1.4,3,1,15,1,87
18.8,36,1,23,1,587
13.5,35,2,16,1,489
2.7,14,3,17,2,191
3.5,8,1,10,1,167
11.4,34,2,6,2,439
5.3,21,3,18,1,257
19.7,86,3,13,2,765
15.8,28,1,20,1,507
15.2,27,1,6,1,478
10.6,19,1,10,1,369
11.7,25,1,23,2,408
18.7,51,2,11,1,643
9.6,18,1,7,2,342
10.5,35,3,9,3,429
16.8,40,2,14,4,608
6.5,31,3,8,1,311
6.0,16,2,11,1,252
18.2,36,1,6,1,589
13.0,25,1,13,1,421
18.9,69,3,9,3,707
6.7,19,2,6,1,282
17.8,56,3,18,2,644
16.2,56,3,10,1,612
16.2,38,1,12,2,555
5.1,12,2,19,3,245
8.5,39,3,13,4,403
19.6,33,1,22,1,613
19.7,35,1,6,1,620
10.6,54,3,17,1,458
16.3,40,2,11,1,553
17.1,49,2,14,2,607
4.5,17,3,17,3,253
0.8,3,1,14,2,90
13.8,32,2,21,3,489
10.7,23,1,15,4,406
3.6,6,1,6,1,155
12.9,34,2,11,1,465
17.9,62,3,8,1,656
11.5,45,3,8,2,475
19.0,75,3,19,2,721
18.0,42,2,20,2,621
10.1,21,1,12,1,345
11.2,33,2,9,1,414
7.2,23,2,19,1,298
14.2,31,1,23,1,480
19.1,67,3,18,2,706
6.0,12,1,20,1,221
9.8,33,3,9,2,410
2.4,9,2,18,1,141
7.1,22,2,17,4,321
15.2,57,3,6,1,583
15.3,32,1,12,1,506
11.6,33,2,11,1,437
14.6,73,3,10,1,600
19.2,73,3,17,1,705
14.2,71,3,14,2,599
7.5,26,3,18,1,323
10.2,36,3,18,2,420
14.9,36,2,13,3,542
12.2,62,3,15,3,528
9.7,28,2,17,1,365
5.8,25,3,13,2,301
2.4,11,3,18,2,177
16.0,47,2,7,1,561
11.4,34,2,16,2,428
5.6,23,3,8,1,276
4.5,11,1,20,2,211
16.8,38,1,14,1,546
19.5,38,1,22,3,629
1.0,3,2,14,1,112
10.0,24,2,7,1,360
11.6,23,1,14,1,393
12.7,37,2,21,3,480
11.7,20,1,6,2,391
13.5,29,1,10,2,465
9.8,19,1,6,2,352
18.5,50,2,23,3,656
18.2,39,1,9,1,590
6.3,26,3,8,1,295
9.2,22,2,6,2,347
13.7,27,1,23,1,453
15.5,35,2,10,2,540
13.0,53,3,20,1,507
3.9,16,3,18,1,216
9.5,20,1,15,1,340
0.8,5,1,22,1,85
9.3,17,1,6,2,336
3.1,11,2,12,1,163
17.0,57,3,8,1,629
10.6,29,2,13,1,384
4.5,17,2,21,1,225
7.3,17,1,21,1,273
13.5,40,2,9,1,485
18.7,79,3,11,1,708
6.9,21,2,20,2,302
19.6,61,3,20,1,687
17.0,59,3,8,1,632
3.8,11,2,20,1,177
7.1,16,1,22,1,273
1.5,5,2,7,2,118
19.6,43,2,8,2,663
6.4,20,2,16,1,262
4.2,14,3,17,1,217
5.7,16,2,13,3,266
2.2,10,3,16,1,159
6.6,28,3,17,1,301
14.2,63,3,5,2,580
15.1,38,2,6,2,540
5.2,18,2,16,1,242
13.9,50,3,9,3,551
11.9,21,1,9,1,386
11.2,37,3,16,3,467
10.1,34,2,14,1,382
19.4,82,3,17,2,732
11.1,32,2,19,2,425
7.9,19,2,12,2,318
13.2,53,3,19,1,532
6.6,14,1,20,1,245
19.0,41,1,22,2,612
10.2,36,3,18,1,411
5.3,14,1,16,2,222
8.4,28,3,11,3,364
13.1,25,1,5,1,425
16.7,29,1,22,1,522
18.1,31,1,5,4,607
2.9,8,1,5,1,132
5.9,22,3,9,2,293
10.7,42,3,8,1,446
13.5,42,2,14,4,519
14.0,32,2,20,1,476
3.2,8,1,23,1,150
12.4,48,3,8,1,492
17.4,73,3,18,1,664
2.6,9,2,18,1,152
2.6,8,1,7,1,137
12.1,27,1,22,2,432
8.9,39,3,6,2,389
